01 March 2017 16:11:09 sucess, stockList.Count = 334
01 March 2017 16:13:18 sucess, stockList.Count = 334
01 March 2017 16:15:19 sucess, stockList.Count = 334
01 March 2017 16:17:18 sucess, stockList.Count = 334
01 March 2017 16:19:18 sucess, stockList.Count = 334
01 March 2017 16:21:18 sucess, stockList.Count = 334
01 March 2017 16:23:18 sucess, stockList.Count = 334
den 6 mars 2017 14:55:13 sucess, stockList.Count = 334
den 6 mars 2017 14:55:51 sucess, stockList.Count = 334
den 6 mars 2017 14:57:51 sucess, stockList.Count = 334
den 6 mars 2017 14:59:51 sucess, stockList.Count = 334
den 6 mars 2017 15:01:51 sucess, stockList.Count = 334
den 6 mars 2017 15:18:27 sucess, stockList.Count = 334
den 6 mars 2017 15:25:28 sucess, stockList.Count = 334
den 6 mars 2017 15:39:52 sucess, stockList.Count = 334
den 6 mars 2017 15:41:49 sucess, stockList.Count = 334
den 8 mars 2017 14:40:03 sucess, stockList.Count = 334
den 8 mars 2017 14:44:52 sucess, stockList.Count = 334
den 8 mars 2017 16:16:54 sucess, stockList.Count = 334
den 8 mars 2017 16:18:53 sucess, stockList.Count = 334
den 8 mars 2017 16:20:53 sucess, stockList.Count = 334
den 9 mars 2017 11:06:33 sucess, stockList.Count = 334
den 9 mars 2017 11:08:32 sucess, stockList.Count = 334
den 9 mars 2017 11:11:49 something went wrong while downloading stocks, Det gick inte att matcha fjärrnamnet: 'download.finance.yahoo.com'
den 9 mars 2017 11:13:50 sucess, stockList.Count = 334
den 9 mars 2017 11:15:51 sucess, stockList.Count = 334
den 9 mars 2017 11:17:50 sucess, stockList.Count = 334
den 9 mars 2017 11:19:50 sucess, stockList.Count = 334
den 9 mars 2017 11:21:50 sucess, stockList.Count = 334
den 9 mars 2017 11:23:50 sucess, stockList.Count = 334
den 9 mars 2017 11:25:50 sucess, stockList.Count = 334
den 9 mars 2017 11:27:50 sucess, stockList.Count = 334
den 9 mars 2017 11:29:50 sucess, stockList.Count = 334
den 9 mars 2017 11:31:50 sucess, stockList.Count = 334
den 9 mars 2017 11:33:50 sucess, stockList.Count = 334
den 9 mars 2017 11:35:50 sucess, stockList.Count = 334
den 9 mars 2017 11:37:50 sucess, stockList.Count = 334
den 9 mars 2017 11:39:50 sucess, stockList.Count = 334
den 9 mars 2017 11:41:50 sucess, stockList.Count = 334
den 9 mars 2017 11:43:50 sucess, stockList.Count = 334
den 9 mars 2017 11:45:50 sucess, stockList.Count = 334
den 9 mars 2017 11:47:50 sucess, stockList.Count = 334
den 9 mars 2017 11:49:50 sucess, stockList.Count = 334
den 9 mars 2017 11:51:50 sucess, stockList.Count = 334
den 9 mars 2017 11:53:50 sucess, stockList.Count = 334
den 9 mars 2017 11:55:50 sucess, stockList.Count = 334
den 9 mars 2017 11:57:50 sucess, stockList.Count = 334
den 9 mars 2017 11:59:50 sucess, stockList.Count = 334
den 9 mars 2017 14:27:29 sucess, stockList.Count = 334
den 9 mars 2017 14:29:28 sucess, stockList.Count = 334
den 9 mars 2017 14:31:28 sucess, stockList.Count = 334
den 9 mars 2017 14:33:28 sucess, stockList.Count = 334
den 9 mars 2017 14:35:39 sucess, stockList.Count = 334
den 9 mars 2017 14:37:39 sucess, stockList.Count = 334
den 9 mars 2017 14:39:39 sucess, stockList.Count = 334
den 9 mars 2017 14:41:39 sucess, stockList.Count = 334
den 9 mars 2017 14:43:39 sucess, stockList.Count = 334
den 9 mars 2017 14:45:39 sucess, stockList.Count = 334
den 9 mars 2017 14:47:39 sucess, stockList.Count = 334
den 9 mars 2017 14:57:36 sucess, stockList.Count = 334
den 9 mars 2017 15:00:13 sucess, stockList.Count = 334
den 9 mars 2017 15:06:36 sucess, stockList.Count = 334
den 9 mars 2017 15:08:35 sucess, stockList.Count = 334
den 9 mars 2017 15:10:35 sucess, stockList.Count = 334
den 9 mars 2017 15:12:35 sucess, stockList.Count = 334
den 9 mars 2017 15:14:35 sucess, stockList.Count = 334
den 9 mars 2017 15:16:36 sucess, stockList.Count = 334
den 9 mars 2017 15:18:36 sucess, stockList.Count = 334
den 9 mars 2017 15:20:35 sucess, stockList.Count = 334
den 9 mars 2017 15:24:50 sucess, stockList.Count = 334
den 9 mars 2017 15:26:50 sucess, stockList.Count = 334
den 9 mars 2017 15:36:38 sucess, stockList.Count = 334
den 9 mars 2017 15:38:38 sucess, stockList.Count = 334
den 9 mars 2017 15:40:17 sucess, stockList.Count = 334
den 9 mars 2017 15:42:17 sucess, stockList.Count = 334
den 13 mars 2017 17:56:36 sucess, stockList.Count = 334
den 13 mars 2017 17:58:36 sucess, stockList.Count = 334
den 13 mars 2017 18:00:36 sucess, stockList.Count = 334
den 13 mars 2017 18:01:42 sucess, stockList.Count = 334
den 13 mars 2017 19:29:32 sucess, stockList.Count = 334
den 13 mars 2017 19:47:20 sucess, stockList.Count = 334
den 13 mars 2017 19:48:31 sucess, stockList.Count = 334
den 13 mars 2017 20:10:14 sucess, stockList.Count = 334
den 13 mars 2017 21:31:58 sucess, stockList.Count = 334
den 13 mars 2017 21:33:58 sucess, stockList.Count = 334
den 13 mars 2017 21:35:58 sucess, stockList.Count = 334
den 14 mars 2017 08:06:40 sucess, stockList.Count = 334
den 14 mars 2017 08:08:40 sucess, stockList.Count = 334
den 14 mars 2017 08:10:40 sucess, stockList.Count = 334
den 14 mars 2017 08:12:40 sucess, stockList.Count = 334
